title,cast,release_year,plot
The Godfather,"
Marlon Brando
Al Pacino
James Caan
Richard Castellano
Robert Duvall
Sterling Hayden
John Marley
Richard Conte
Diane Keaton
","
March 14, 1972 (1972-03-14) (Loew's State Theatre)
March 24, 1972 (1972-03-24) (United States)
","NAIn 1945 New York City, at his daughter Connie's wedding to Carlo, Vito Corleone, the don of the Corleone crime family listens to requests. His youngest son, Michael, who was a Marine during World War II, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role; Vito dispatches his consigliere, Tom Hagen, to Los Angeles to persuade studio head Jack Woltz to give Johnny the part. Woltz refuses until he wakes up in bed with the severed head of his prized stallion.
Shortly before Christmas, drug baron Sollozzo, backed by the Tattaglia crime family, asks Vito for investment in his narcotics business and protection through his political connections. Wary of involvement in a dangerous new trade that risks alienating political insiders, Vito declines. Suspicious, Vito sends his enforcer, Luca Brasi, to spy on them. Brasi is garroted to death during his first meeting with Bruno Tattaglia and Sollozzo. Later, Sollozzo kidnaps Hagen, then has Vito gunned down in the street. With Corleone first-born Sonny in command, Sollozzo pressures Hagen to persuade Sonny to accept Sollozzo's deal, then releases him. The family receives fish wrapped in Brasi's bullet-proof vest, indicating that Luca ""sleeps with the fishes"". Vito survives, and at the hospital, Michael thwarts another attempt on his father. Michael's jaw is broken by NYPD Capt. McCluskey, Sollozzo's unofficial bodyguard. Sonny retaliates with a hit on Tattaglia's son. Michael plots to murder Sollozzo and McCluskey; feigning a desire to settle the dispute, Michael meets them in a Bronx restaurant in which, after retrieving a handgun planted by Peter Clemenza, a Corleone capo, he kills both men.
Despite a clampdown by the authorities, the Five Families erupt in open warfare, and Vito fears for his sons' safety. Michael takes refuge in Sicily and Fredo is sheltered by Moe Greene in Las Vegas. Sonny attacks Carlo on the street for abusing Connie and threatens to kill him if it happens again. When it does, Sonny speeds to their home but is ambushed at a highway toll booth and violently murdered by gangsters wielding submachine guns. While in Sicily, Michael meets and marries Apollonia, but a car bomb intended for him takes her life.
Devastated by Sonny's death and realizing that the Tattaglias are controlled by the now-dominant don, Barzini, Vito attempts to end the feud. He assures the Five Families that he will withdraw his opposition to their heroin business and forgo avenging Sonny's murder. His safety guaranteed, Michael returns home to enter the family business and marry Kay, promising her that the business will be legitimate within five years. Kay gives birth to two children by the early 1950s. With his father nearing the end of his life and Fredo too weak, Michael takes the family reins. He insists Hagen relocate to Las Vegas and relinquish his role to Vito because Hagen is not a ""wartime consigliere""; Vito agrees Hagen should ""have no part in what will happen"" in the coming battles with the rival families. When Michael travels to Las Vegas to buy out Greene's stake in the family's casinos, he is dismayed to see that Fredo is more loyal to Greene than to his own family.
In 1955, Vito suffers a fatal heart attack. At the funeral, Tessio, a Corleone capo, asks Michael to meet with Barzini, signaling the betrayal that Vito had forewarned. The meeting is set for the same day as the baptism of Connie's baby. While Michael stands at the altar as the child's godfather, Corleone hitmen murder the other New York City dons and Greene. Tessio's treachery leads to his execution. Michael extracts Carlo's confession to his complicity in setting up Sonny's murder for Barzini; Clemenza garrotes Carlo to death. Connie accuses Michael of the murder, telling Kay that Michael ordered all the killings. Kay is relieved when Michael finally denies it, but when the capos arrive, they address her husband as Don Corleone and she watches them pay reverence to Michael as the newly installed don as they close the door on her.
"
The Godfather: Part II,"
Al Pacino
Robert Duvall
Diane Keaton
Robert De Niro
Talia Shire
Morgana King
John Cazale
Mariana Hill
Lee Strasberg
","
December 12, 1974 (1974-12-12) (New York City)
December 20, 1974 (1974-12-20) (United States)
",NA
Schindler's List,"
Liam Neeson
Ben Kingsley
Ralph Fiennes
Caroline Goodall
Jonathan Sagall
Embeth Davidtz
","
November 30, 1993 (1993-11-30) (Washington, D.C.)
December 15, 1993 (1993-12-15) (United States)
","NAIn Kraków during World War II, the Germans have forced local Polish Jews into the overcrowded Kraków Ghetto. Oskar Schindler, an ethnic German from Czechoslovakia, arrives in the city hoping to make his fortune. A member of the Nazi Party, Schindler lavishes bribes on Wehrmacht (German armed forces) and SS officials and acquires a factory to produce enamelware. To help him run the business, Schindler enlists the aid of Itzhak Stern, a local Jewish official who has contacts with black marketeers and the Jewish business community. Stern helps Schindler arrange financing for the factory. Schindler maintains friendly relations with the Nazis and enjoys wealth and status as ""Herr Direktor"", and Stern handles administration. Schindler hires Jewish workers because they cost less, while Stern ensures that as many people as possible are deemed essential to the German war effort, which saves them from being transported to concentration camps or killed.
SS-Untersturmführer (second lieutenant) Amon Göth arrives in Kraków to oversee construction of Płaszów concentration camp. When the camp is completed, he orders the ghetto liquidated. Many people are shot and killed in the process of emptying the ghetto. Schindler witnesses the massacre and is profoundly affected. He particularly notices a young girl in a red coat as she hides from the Nazis, and later sees her body among a wagonload of corpses. Schindler is careful to maintain his friendship with Göth and, through bribery and lavish gifts, continues to enjoy SS support. Göth brutally mistreats his Jewish maid Helen Hirsch and randomly shoots people from the balcony of his villa, and the prisoners are in constant fear for their lives. As time passes, Schindler's focus shifts from making money to trying to save as many lives as possible. To better protect his workers, Schindler bribes Göth into allowing him to build a sub-camp.
As the Germans begin to lose the war, Göth is ordered to ship the remaining Jews at Płaszów to Auschwitz concentration camp. Schindler asks Göth to allow him to move his workers to a new munitions factory he plans to build in Brünnlitz near his home town Zwittau. Göth agrees, but charges a huge bribe. Schindler and Stern create ""Schindler's List"" – a list of about 850 people to be transferred to Brünnlitz and thus saved from transport to Auschwitz.
As the Jewish workers are transported by train to Brünnlitz, the one carrying the women and girls is accidentally redirected to Auschwitz-Birkenau; Schindler bribes Rudolf Höss, the commandant of Auschwitz, with a bag of diamonds to win their release. At the new factory, Schindler forbids the SS guards from entering the factory floor without special permission and encourages the Jews to observe the Jewish Sabbath. Over the next seven months, he spends much of his fortune bribing Nazi officials and buying shell casings from other companies; due to Schindler's own machinations, the factory does not produce any usable armaments during this period. Schindler runs out of money in 1945, just as Germany surrenders, ending the war in Europe.
As a Nazi Party member and war profiteer, Schindler must flee the advancing Red Army to avoid capture. The SS guards in Schindler's factory have been ordered to kill the Jewish workforce, but Schindler persuades them not to, so that they can ""return to [their] families as men, instead of murderers."" He bids farewell to his workers and prepares to head west, hoping to surrender to the Americans. The workers give Schindler a signed statement attesting to his role in saving Jewish lives and present him with a ring engraved with a Talmudic quotation: ""Whoever saves one life saves the world entire."" Schindler is touched but also ashamed, as he feels he should have done even more. He breaks down sobbing, and is comforted by the workers. He and his wife leave. When the Schindlerjuden  awaken the next morning, a Soviet soldier announces that they have been liberated. The Jews leave the factory and walk to a nearby town.
An epilogue reveals that Schindler's marriage failed after the war, as did his attempts to start new businesses, while Göth was arrested, tried, and executed for crimes against humanity. Schindler was later honored by Yad Vashem for his efforts to save his workers from being put to death. In the present, many of the surviving Schindlerjuden and the actors portraying them visit Schindler's grave and place stones on its marker (the traditional Jewish sign of respect on visiting a grave). The final visitor is Liam Neeson, who lays two roses on the marker.
"
The Lord of the Rings: The Return of the King,"
Elijah Wood
Ian McKellen
Liv Tyler
Viggo Mortensen
Sean Astin
Cate Blanchett
John Rhys-Davies
Bernard Hill
Billy Boyd
Dominic Monaghan
Orlando Bloom
Hugo Weaving
Miranda Otto
David Wenham
Karl Urban
John Noble
Andy Serkis
Ian Holm
Sean Bean
","
1 December 2003 (2003-12-01) (Embassy Theatre)
17 December 2003 (2003-12-17) (United States)
18 December 2003 (2003-12-18) (New Zealand)
","NATwo Hobbits, Sméagol and Déagol, are fishing when Déagol discovers the One Ring in the river. Sméagol is ensnared by the Ring, and kills his friend for it. He retreats into the Misty Mountains as the Ring twists his body and mind, until he becomes the creature Gollum.
Centuries later, during the War of the Ring, Gandalf leads Aragorn, Legolas, Gimli, and King Théoden to Isengard, where they reunite with Merry and Pippin. The group subsequently confront Saruman at his tower, where Théoden attempts to implore his treacherous servant Gríma Wormtongue in rebelling against Saruman. When Saruman dismisses this and hits Wormtongue, the latter responds by stabbing Saruman until Legolas kills Wormtongue by firing a bow at him; Saruman then dies when he falls off his tower to his death. Shortly afterwards, Gandalf retrieves Saruman's palantír and the group leaves Isengard to continue their journey. Pippin soon looks into the seeing-stone and is seen by Sauron. From Pippin's description of his visions, Gandalf surmises that Sauron will attack Gondor's capital Minas Tirith. He rides there to warn Gondor's steward Denethor, taking Pippin with him.
Gollum leads Frodo Baggins and Samwise Gamgee to Minas Morgul, where they watch the Witch-king of Angmar, leader of the nine Nazgûl, lead an army of Orcs towards Gondor. The hobbits begin climbing a stair carved in the cliff face that leads to a secret tunnel into Mordor, unaware that Gollum plans to kill them and take the Ring. The Witch-king and his forces strike and overwhelm Osgiliath, forcing Faramir and his garrison to retreat to Minas Tirith.
Gollum disposes of the Hobbits' food, blaming Sam. Believing that Sam desires the Ring, Frodo tells him to go home before he and Gollum continue to the tunnel leading to Mordor. Gollum tricks him into venturing into the lair of the giant spider Shelob. Frodo narrowly escapes and confronts Gollum, telling him that he must destroy the Ring for both their sakes. Gollum attacks Frodo but falls down a chasm. Frodo continues on, but Shelob discovers, paralyses, and binds him. Sam returns and injures Shelob, driving her away, but then hides as Orcs appear and take Frodo with them. The Orcs prepare to execute Frodo, but they end up fighting each other over ownership of Frodo's mithril; the distraction allows Sam to rescue Frodo, and they escape before going on to continue their journey.
As King Théoden gathers the Rohirrim army, Aragorn learns from Elrond that Arwen is dying, having refused to leave Middle Earth to be with Aragorn after seeing a vision of their future son. Arwen convinced a reluctant Elrond to order the shards of King Elendil's sword, Narsil, be reforged into Andúril so that Aragorn can reclaim his birthright and gain reinforcements from the ghostly Dead Men of Dunharrow. Joined by Legolas and Gimli, Aragorn travels to the Dead Men's lair, pledging to release them from Isildur's undead curse should they come to Gondor's aid.
Faramir is gravely wounded after a futile effort to recapture Osgiliath; believing his son to be dead, Denethor falls into madness. Gandalf is left to defend the city against the Orc army, led by Gothmog. As Gothmog's army forces its way into the city, Denethor attempts to kill himself and Faramir on a pyre. Pippin alerts Gandalf and they save Faramir, but a burning Denethor leaps to his death from the top of Minas Tirith just before Théoden and his nephew, Éomer, arrive with the Rohirrim. During the ensuing battle, they are overwhelmed by the Oliphaunt-riding Haradrim and the Witch-King mortally wounds Théoden. Just as the Witch-king prepares to finish Théoden off, his niece Éowyn battles and manages to kill the Witch-king with Merry's help; Éowyn subsequently tends to Théoden afterwards and they bid each farewell before Théoden dies in front of his niece. Aragorn then arrives with the Army of the Dead, who overcome Sauron's forces and win the battle; afterwards, Aragorn frees the Dead Men from their curse.
Aragorn decides to march upon the Black Gate as a distraction so Frodo and Sam can reach Mount Doom. Aragorn's army draws out Sauron's remaining forces and empties Mordor, allowing Frodo and Sam to reach the volcano, but Gollum attacks them just as they reach Mount Doom. As Frodo stands on the ledge over the volcanic fire, he succumbs to the Ring and claims it as his own, putting it on his finger. Gollum finds the invisible Frodo and attacks him, biting his finger off to reclaim the Ring. Frodo attacks Gollum in an attempt to reclaim the Ring, and in the ensuing struggle they both fall off the ledge. Gollum falls into the lava with the Ring and dies. Frodo clings to the side of the ledge and is rescued by Sam as the Ring disintegrates in the lava. As Frodo and Sam escape, Sauron is defeated—along with his Orcs and Nazgûl—as Mordor crumbles, finally destroying Sauron once and for all.
Gandalf flies in with eagles in the battle's aftermath to rescue the Hobbits, who awaken in Minas Tirith and are reunited with the surviving Fellowship. Aragorn is crowned King of Gondor and takes Arwen as his queen. The Hobbits return home to the Shire, where Sam marries Rosie Cotton. A few years later, Frodo departs Middle-earth for the Undying Lands with his uncle Bilbo, Gandalf, and the Elves. He leaves Sam the Red Book of Westmarch, which details their adventures. Sam returns to the Shire, where he embraces Rosie and their children. The last words of both the book and the film are the same - ""Well, I'm back.""
"
One Flew Over the Cuckoo's Nest,"
Jack Nicholson
Louise Fletcher
William Redfield
","
November 19, 1975 (1975-11-19)
","NAIn Oregon in the fall in 1963, repeat offender Randle Patrick McMurphy is transferred to a mental institution after serving a few months on a prison farm on charges of assault and statutory rape of a 15-year-old girl. Though not truly mentally ill, McMurphy hopes to avoid hard labor and complete the remainder of his sentence in a more relaxed environment. Upon arriving at the hospital, he finds the ward is being dominated by head nurse Mildred Ratched, a cold, passive-aggressive tyrant who uses her authority to intimidate her patients.
The other patients include anxious, stuttering 21-year-old Billy Bibbit; Charlie Cheswick, who is prone to childish tantrums; delusional and innocent Martini; the articulate, repressed homosexual Dale Harding; belligerent and profane Max Taber; epileptics Jim Sefelt and Bruce Fredrickson, the former of whom gives his medicine to the latter; quiet but violent-minded Scanlon; ""Chief"" Bromden, a very tall Native American deaf-mute; and several others with chronic conditions. 
Ratched sees McMurphy's lively, rebellious presence as a threat to her authority; she confiscates the patients' cigarettes and rations them, and suspends their card-playing privileges. McMurphy finds himself in a battle of wills against Ratched. He steals a school bus, escaping with several patients to go fishing on the Pacific Ocean Coast, encouraging his fellow patients to discover their own abilities and find self-confidence.
After an orderly tells him that the judge's time sentence doesn't apply for people who are deemed to be criminally insane, McMurphy makes plans to escape, encouraging Chief Bromden to throw a hydrotherapy console through a window. McMurphy makes a bet with some of the other patients that he can lift the console himself, but he fails after several tries and loses the bet. 
During a group therapy session it is revealed that McMurphy, Chief, and Taber are the only non-chronic patients involuntarily committed to the institution; the rest of them are self-committed and could leave at any time, but are too afraid to do so. After Cheswick bursts into a fit demanding his cigarettes, McMurphy fights with the orderlies, and Chief intervenes. Ratched sends Chief, Cheswick, and McMurphy to the ""shock shop"" as a result of this insubordination. While awaiting their punishment, McMurphy offers Chief a stick of gum, and discovers he can speak and hear, having feigned his deaf-muteness to avoid engaging with anyone. After being subjected to electroconvulsive therapy, McMurphy returns to the ward pretending to be brain damaged. McMurphy reveals the treatment has made him even more determined to defeat Ratched. 
McMurphy and Chief make plans to escape, but decide to throw a secret Christmas party for their friends after Ratched and the orderlies leave for the night. McMurphy sneaks two women, Candy and Rose, and bottles of alcohol into the ward; he bribes guard Turkle to allow this. After a party, McMurphy and Chief prepare to escape, inviting Billy to come with them. Billy refuses, but asks for a ""date"" with Candy; McMurphy arranges for him to have sex with her. McMurphy and the others get drunk, and McMurphy falls asleep instead of making his escape with Chief. 
Ratched arrives in the morning to find the ward in disarray and most of the patients passed out. She discovers Billy and Candy together, and aims to embarrass Billy in front of everyone. Billy manages to overcome his stutter and stands up to Ratched. When she threatens to tell his mother, Billy cracks under the pressure and reverts to stuttering. Ratched has him placed in the doctor’s office. Moments later, McMurphy punches an orderly when trying to escape out of a window with the Chief, causing other orderlies to intervene. Meanwhile, Billy commits suicide while in the office by slitting his throat with broken glass. McMurphy and the other patients discover this, and McMurphy strangles Ratched. The orderlies subdue McMurphy, saving her life.
Some time later, Ratched is seen wearing a neck brace and speaking with a weak voice, and Harding now leads the now-unsuspended card-playing. McMurphy is nowhere to be found, causing rumors that he has escaped or been moved to the violent patient floor. Later that night, Chief sees McMurphy being returned to his bed by orderlies. After they depart, Chief greets him, elated that McMurphy had kept his promise not to escape without him, but notices McMurphy is unresponsive and physically limp, and discovers lobotomy scars on his forehead. Chief hugs him, says ""You're coming with me,"" and smothers McMurphy to death with a pillow. He then lifts the hydrotherapy fountain off the floor, throws it out the window, and escapes as other patients watch with delight.
"
Forrest Gump,"
Tom Hanks
Robin Wright
Gary Sinise
Mykelti Williamson
Sally Field
","
June 23, 1994 (1994-06-23) (Los Angeles)
July 6, 1994 (1994-07-06) (United States)
","NAIn 1981, at a bus stop in Savannah, Georgia, a man named Forrest Gump recounts his life story to strangers who sit next to him on a bench.
In 1951, in Greenbow, Alabama, young Forrest is fitted with leg braces to correct a curved spine, and is unable to walk properly. He lives alone with his mother, who runs a boarding house out of their home that attracts many tenants, including a young Elvis Presley, who plays the guitar for Forrest and incorporates Forrest's jerky dance movements into his performances. On his first day of school, Forrest meets a girl named Jenny Curran, and the two become best friends.
Forrest is often bullied because of his physical disability and marginal intelligence. While fleeing from several bullies, his leg braces break off, revealing Forrest to be a very fast runner. This talent eventually allows him to receive a football scholarship at the University of Alabama in 1963, where he is coached by Bear Bryant; he witnesses Governor George Wallace's stand in the schoolhouse door, becomes a top kick returner, is named on the All-American team, and meets President John F. Kennedy at the White House.
After graduating college in 1967, Forrest enlists into the U.S. Army. During basic training, he befriends a fellow soldier nicknamed ""Bubba"", who convinces Forrest to go into the shrimping business with him after their service. In 1968, they are sent to Vietnam, serving with the 9th Infantry Division in the Mekong Delta region. After months of routine operations, their platoon is ambushed while on patrol, and Bubba is killed in action. Forrest saves several wounded platoon-mates—including his lieutenant, Dan Taylor, who loses both his legs—and is awarded the Medal of Honor for his heroism by President Lyndon B. Johnson.
At the anti-war ""March on the Pentagon"" rally, Forrest meets Abbie Hoffman and briefly reunites with Jenny, who has been living a hippie lifestyle. He also develops a talent for ping-pong, and becomes a sports celebrity as he competes against Chinese teams in ping-pong diplomacy, earning him an interview alongside John Lennon on The Dick Cavett Show. He spends the holidays and the 1972 new year in New York City with Lieutenant Dan, who has become an embittered cripple. Forrest soon meets President Richard Nixon and is put up in the Watergate complex, where he accidentally exposes the Watergate scandal, forcing Nixon to resign. Forrest is eventually discharged from the army.
Returning to Greenbow, Forrest endorses a company that makes ping-pong paddles. He uses the earnings to buy a shrimping boat in Bayou La Batre, fulfilling his promise to Bubba. Lieutenant Dan joins Forrest in 1974, and they initially have little success. After their boat becomes the only one to survive Hurricane Carmen, they pull in huge amounts of shrimp and create the Bubba Gump Shrimp Company, after which Lieutenant Dan finally thanks Forrest for saving his life. Lieutenant Dan invests into what Forrest thinks is ”some kind of fruit company” and the two become millionaires, but Forrest also gives half of the earnings to Bubba's family. Forrest then returns home to see his mother as she dies of cancer.
In 1976, Jenny—in the midst of recovering from years of drugs and abuse—returns to visit Forrest, and after a while he proposes to her. That night she tells Forrest she loves him and the two make love, but she leaves the next morning. Heartbroken, Forrest goes running, and spends the next three years in a relentless cross-country marathon, becoming famous again before returning home to Greenbow.
Back in 1981, Forrest reveals that he is waiting at the bus stop because he received a letter from Jenny, who asked him to visit her. As Forrest is finally reunited with Jenny, she introduces him to their son, named Forrest Gump, Jr. Jenny tells Forrest she is sick with an unknown incurable virus, and the three move back to Greenbow. Jenny and Forrest finally marry, but she dies a year later. The film ends with Forrest seeing his son off on his first day of school.
"
The Silence of the Lambs,"
Jodie Foster
Anthony Hopkins
Scott Glenn
Ted Levine
","
January 30, 1991 (1991-01-30) (New York City)
February 14, 1991 (1991-02-14) (United States)
","NAClarice Starling is pulled from her FBI training at the Quantico, Virginia FBI Academy by Jack Crawford of the Bureau's Behavioral Science Unit. He assigns her to interview Hannibal Lecter, a former psychiatrist and incarcerated cannibalistic serial killer. Lecter's insight could prove useful in the pursuit of a serial killer nicknamed ""Buffalo Bill"", who kills young women and removes their skin.
At the Baltimore State Hospital for the Criminally Insane, Dr. Frederick Chilton makes a crude pass at Starling before he escorts her to Lecter's cell. Although initially pleasant and courteous, Lecter grows impatient with Starling's interviewing and rebuffs her. As she is leaving, a prisoner named Miggs flicks semen at her. Lecter, who considers this an ""unspeakably ugly"" act, calls Starling back and tells her to seek out his old patient. This leads her to a storage facility, where she discovers a jar containing a man's severed head. She returns to Lecter, who says the man is linked to Buffalo Bill. He offers to profile Buffalo Bill on condition he be transferred away from Chilton, whom he detests. Another Buffalo Bill victim is found who has a death's head moth lodged in her throat. 
Buffalo Bill abducts Catherine Martin, a senator's daughter. Crawford authorizes Starling to offer Lecter a fake deal, promising a prison transfer if he provides information that helps them capture Buffalo Bill and rescue Catherine. Instead, Lecter demands a quid pro quo from Starling, offering clues about Buffalo Bill in exchange for personal information. Starling tells Lecter about her father's murder when she was ten years old. Chilton secretly records the conversation and reveals Starling's deceit before offering Lecter a different deal. Lecter agrees and is flown to Memphis, where he meets and torments Senator Martin, then gives her misleading information on Buffalo Bill, including the name ""Louis Friend"".
Starling deduces that ""Louis Friend"" is an anagram of ""iron sulfide""—fool's gold. She visits Lecter, who is now imprisoned in a cell in a Tennessee courthouse, and requests the truth. Lecter says all the information she needs is contained in the Buffalo Bill case file, then insists on continuing their quid pro quo. She recounts a traumatic childhood incident of hearing spring lambs being slaughtered on a relative's Montana farm. Lecter speculates that Starling hopes saving Catherine will end the recurring nightmares she has of lambs screaming. Lecter returns the Buffalo Bill case files to Starling as Chilton arrives and has the police escort her from the building. Later that evening, Lecter kills his guards, escapes from his cell, and disappears.
Starling analyzes Lecter's file annotations and deduces that Buffalo Bill knew his first victim, Frederika Bimmel. Starling travels to her Ohio hometown and discovers both she and Buffalo Bill were tailors. At Frederika's home, she notices unfinished dresses and dress patterns identical to the patches of skin removed from the victims. She phones Crawford and says Buffalo Bill is making a ""suit"" with human skin. Crawford is already en route to make an arrest, having cross-referenced Lecter's notes with hospital archives and finding a man named Jame Gumb. Gumb smuggled death’s head moths into the U.S. and was refused sex-change operation, mistakenly believing he was transsexual. Starling continues interviewing Frederika's friends while Crawford and an FBI HRT storm Gumb's address in Illinois, finding the house empty. Meanwhile, Starling goes to interview another person who knew Frederika. At the house, she meets ""Jack Gordon"", but realizes he is Gumb after spotting a death's head moth flying loose. She pursues him into a cavernous basement where she finds Catherine trapped in a dry well. In a dark room, Gumb stalks Starling with night-vision goggles, but reveals himself by cocking his revolver. Starling reacts quickly and shoots Gumb dead.
At the FBI Academy graduation party, Starling receives a phone call from Lecter, who is at a Bimini airport. He wishes her well, and says he must hang up because he is ""having an old friend for dinner"". He trails a newly arrived Chilton into the crowd.
"
Casablanca,"
Humphrey Bogart
Ingrid Bergman
Paul Henreid
Claude Rains
Conrad Veidt
Sydney Greenstreet
Peter Lorre[1]
","
November 26, 1942 (1942-11-26) (Hollywood Theatre)
January 23, 1943 (1943-01-23) (United States)
",NA
The Departed,"
Leonardo DiCaprio
Matt Damon
Jack Nicholson
Mark Wahlberg
Martin Sheen
Ray Winstone
Vera Farmiga
Alec Baldwin
","
September 26, 2006 (2006-09-26) (Ziegfeld Theatre)
October 6, 2006 (2006-10-06) (United States)
","NAIn 1986 South Boston, young Colin Sullivan (Matt Damon) is introduced to crime by Irish Mob boss Frank Costello (Jack Nicholson). By 2006, he has groomed Sullivan as a mole inside the Massachusetts State Police (MSP). Sullivan is accepted into its Special Investigations Unit, led by Captain Ellerby (Alec Baldwin), which targets organized crime.
Another recruit, William ""Billy"" Costigan Jr. (Leonardo DiCaprio), is approached by Captain Queenan (Martin Sheen) and Staff Sergeant Dignam (Mark Wahlberg) to go undercover before graduating from the MSP's academy, as his family's ties to organized crime make him a perfect infiltrator of Costello's crew. He acts as an MSP academy dropout and serves time in prison on a phony battery and assault charge; he subsequently joins Frank's crew after gaining his attention and proving he is no longer a cop. Ellerby informs Special Investigations that they will not know the identities of Queenan and Dignam's undercover cops, and explains that Costello's crew has stolen computer microprocessors to sell to a Chinese gang. Queenan and Dignam separately inform Billy and they all build their case to arrest Costello. As Billy is accepted as a member of Frank's crew, his mental state declines as a result of his involvement. Queenan and Dignam tell him there is a rat in the Special Investigations Unit and plead with him to stay undercover until the deal takes place.
In 2007, Sullivan begins a romance with police psychiatrist Madolyn Madden (Vera Farmiga). Billy also sees her professionally as a condition of his probation and being involved in Frank's crew. The MSP is ready to catch Frank selling the microprocessors, but the deal takes place off-camera and everyone escapes, enraging Ellerby. Frank realizes there is a rat infiltrating his crew. Sullivan, whose relationship with Madolyn is becoming more serious, is promoted to the MSP's Internal Investigations unit and tasked by Frank to find the rat. Sullivan tells him to deliver personal information for all of his crew members so he can cross-reference them in the MSP database. Meanwhile, Billy learns that Costello is an FBI informant. Frank accuses Billy of being the rat, but Billy denies it. He immediately tells Queenan that Frank is an FBI informant, is aware of a mole in his crew, and is becoming increasingly paranoid.
Later, Billy follows Frank into an adult movie theater, where he witnesses Frank give Sullivan the envelope containing the information he was asking for. Queenan gives Billy specific instructions to get a visual ID of Sullivan before making the arrest. Billy chases him through Chinatown, but is unable to see his face. When Billy's ringtone goes off, Sullivan realizes he's being followed and prepares to stab Billy, but accidentally kills a civilian. As he runs away, he realizes he and the person following him have been captured on a security camera, but he is unable to recognize Billy on the camera's footage.
Sullivan meets with Queenan after his promotion and is advised to follow Costello to find his rat in the police department. Frank waits for a call from Sullivan to find the rat in his crew, and tells Billy to take the day off and miss the upcoming job. Afraid, Billy calls Queenan to meet at an abandoned warehouse. Sullivan orders his officers to have Queenan tailed to the meeting. When Frank's men arrive, Queenan helps Billy escape to preserve his cover before confronting them alone. They drop Queenan to his death before engaging in a brief shootout with police. Sullivan's officers mortally wound crew member Delahunt in the gunfight; at Costello's compound, Delahunt tells Billy he knew he was the mole, and Billy contemplates killing him to keep him quiet moments before he dies. After Delahunt's body was recovered by authorities, television news states that Delahunt had been an undercover cop, but Frank recognizes this as a ploy to protect the real informant. Incensed at learning Sullivan ordered a tail on Queenan, Dignam attacks him and is subsequently suspended by Ellerby; Dignam resigns instead. A vulnerable Billy goes to Madolyn's apartment and they have sex.
Using Queenan's phone, Sullivan reaches Billy, who refuses to abort his mission. Sullivan learns from Queenan's diary that Frank is a protected FBI informant, causing him to worry about his own identity being revealed. This warrants Sullivan to finally help the MSP to catch Frank, and with Billy's help, Frank is tailed to a cocaine drop-off, where a gunfight erupts between the crew and the police. Most of the crew are killed. An enraged Sullivan confronts Frank, who admits he is an FBI informant. When he suddenly draws a gun, Sullivan fatally shoots him and is congratulated as a hero by the police.
With Frank dead and the operation wrapped up, Billy goes to Sullivan to restore his true identity. Billy then notices Frank's envelope on Sullivan's desk, realizes Sullivan is the mole, and flees. Sullivan realizes Billy saw the envelope and erases Billy's records from the police computer system to take away his credibility. Billy hands Madolyn an envelope, instructing her to open it only if something happens to him. Meanwhile, Madolyn has moved in with Sullivan and informs him she is pregnant with a son. As Sullivan takes a shower, Madolyn finds a letter addressed to him from Billy. She opens the letter, which also contains the tapes, listens to them, and angrily leaves Sullivan.
Billy arranges to meet Sullivan at the building where Queenan died; he handcuffs Sullivan at gunpoint when he arrives. Billy had also called Trooper Brown, a friend of his from the academy, to substantiate his identity, but Brown pulls a gun on Billy when he arrives, unsure who is telling the truth; Billy says he has evidence tying Sullivan to Costello's operations, and Brown reluctantly lets him go down the elevator. Upon reaching the lobby, Billy is shot and killed by Trooper Barrigan from Special Investigations, who also kills Brown before revealing himself as a second mole working for Costello. Sullivan shoots Barrigan dead and publicly frames him as the only mole, clearing his own name.
At Billy's funeral, Sullivan notices that Madolyn is tearful. As they leave the cemetery, he approaches her and asks ""what about the baby?"" but she ignores him and keeps walking. Later, Sullivan arrives at his apartment, but Dignam is waiting there and kills him. As Dignam leaves, a rat races across the balcony.
"
American Beauty,"
Kevin Spacey
Annette Bening
Thora Birch
Allison Janney
Peter Gallagher
Mena Suvari
Wes Bentley
Chris Cooper
","
September 8, 1999 (1999-09-08) (Grauman's Egyptian Theatre)
September 11, 1999 (1999-09-11) (TIFF)
September 15, 1999 (1999-09-15) (United States)
",NA
